,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93
Fire3_21,9,46,3,25,5,0,32,2,6,14,2,26,5,54,26,40,28,118,45,18,115,90,4,25,18,6,8,4,64,46,34,28,1,3,25,25,1,3,9,5,7,0,6,48,24,47,2,1,11,2,2,51,0,6,4,27,2,4,12,25,8,25,6,9,17,0,25,68,4,32,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire3_22,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,1,5,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Gab1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,7,1,0,2,16,11,17,2,23,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,7,1,4,5,2,2,2,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gab1_21,121,280,129,113,136,85,167,16,113,109,45,70,18,69,104,174,172,44,335,68,87,236,166,119,23,100,91,113,55,89,132,87,42,4,161,8,46,72,180,160,117,206,55,73,252,52,25,31,53,17,40,45,31,3,25,29,8,5,36,9,1,28,10,6,2,2,45,11,4,5,1,23,7,9,7,9,2,3,4,10,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gab1_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,1,0,0,3,5,1,0,0,1,1,3,3,0,9,3,0,0,0,0,0,6,0,0,0,0,2,21,7,3,5,8,10,5,19,9,9,6,0,0,2,0,4,8,6,0,0,0,3,1,1,0,4,0,0,0,5,0,0,0,10,0,5,0,NA,NA,NA,NA,NA,NA,NA
Gab3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,0,0,2,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gab3_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,78,97,64,93,0,7,48,74,23,11,46,24,61,103,41,46,23,18,8,7,6,40,3,0,8,13,10,9,5,18,7,0,0,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gab3_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,0,0,0,3,23,4,27,6,21,5,6,2,1,1,0,10,9,1,0,NA,NA,NA,NA,NA,2,10,24,52,38,24,26,0,0,13,9,12,3,4,13,22,12,1,27,4,0,17,33,11,4,34,2,2,2,0,0,29,0,4,0,7,0,3,NA,NA,NA,NA,NA,NA,NA
Kup1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kup1_21,115,82,13,77,71,25,43,2,38,36,496,232,83,51,114,144,47,108,118,55,127,108,111,43,21,186,6,31,98,123,110,22,96,122,65,251,180,974,33,103,270,234,156,241,342,504,443,229,170,136,256,75,39,39,113,112,164,287,182,141,294,164,9,123,20,37,100,88,15,46,234,218,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
